,year,month,ticker,list_date,company_name,icb_industry,icb_supersector,country_of_incorporation,market_cap,eps,p/e,p/s,datetime
31,2017,11,ACC,2005-06-28,ACCESS INTELLIGENCE PLC,Technology,Technology,United Kingdom,12.760308,-0.08,-4.9844953125,0.251875,2017-11-01
100,2017,11,AMO,2004-06-09,AMINO TECHNOLOGIES PLC,Technology,Technology,United Kingdom,137.250417,0.19,9.895487887527036,1.3150684931506849,2017-11-01
1007,2017,11,KBT,2001-03-28,K3 BUSINESS TECHNOLOGY GROUP PLC,Technology,Technology,United Kingdom,71.935664,-0.2,-8.364612093023256,2.744186046511628,2017-11-01
1746,2017,11,TEK,2014-04-04,TEKCAPITAL PLC,Technology,Technology,United Kingdom,12.796412,0.1,2.9759097674418604,0.16372093023255815,2017-11-01
3356,2017,1,ETX,2007-11-28,E-THERAPEUTICS PLC                 ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,22.73789869875,-0.04,-2.1210726398087685,0.0,2017-01-01
3957,2016,6,ABC,2005-11-03,ABCAM                              ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,1533.122429,0.21,35.963463030729535,0.8472906403940886,2016-06-01
4188,2016,6,BVXP,2014-04-29,BIOVENTIX PLC                      ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,48.61521088,0.83,11.598523411666465,1.093069306930693,2016-06-01
4201,2016,6,BLTG,2007-04-03,BLANCCO TECHNOLOGY GROUP PLC       ,Software & Computer Services,Software,United Kingdom,145.00646919999997,-0.03,-83.33705126436782,0.3620689655172414,2016-06-01
4347,2016,6,CLIN,2012-09-25,CLINIGEN GROUP PLC                 ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,682.6476117999998,0.3,19.786887298550727,2.9565217391304346,2016-06-01
4391,2016,6,CRW,2007-09-13,CRANEWARE PLC                      ,Software & Computer Services,Software,United Kingdom,212.7645827,0.41,19.219926169828366,1.851851851851852,2016-06-01
4451,2016,6,DNL,2015-12-24,DIURNAL GROUP PLC                  ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,75.96665435,-0.14,-10.238093578167117,0.0,2016-06-01
4460,2016,6,DOTD,2011-03-29,DOTDIGITAL GROUP PLC               ,Software & Computer Services,Internet,United Kingdom,119.3675895,0.02,20.30061045918368,0.09183673469387756,2016-06-01
4483,2016,6,EYE,2014-04-16,EAGLE EYE SOLUTIONS LTD            ,Software & Computer Services,Internet,United Kingdom,24.48490603,-0.16,-6.955939213068183,0.29363636363636364,2016-06-01
4669,2016,6,GNS,2007-11-12,GENUS                              ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,946.8142015,0.54,28.743600531268967,6.360655737704918,2016-06-01
5146,2016,6,MOS,2006-02-15,MOBILE STREAMS                     ,Mobile Telecommunications,Mobile Telecommunications,United Kingdom,1.5159450490000002,-0.04,-1.02428719527027,0.35135135135135137,2016-06-01
5203,2016,6,NET,2010-07-30,NETCALL                            ,Software & Computer Services,Software,United Kingdom,69.05812221,0.01,49.68210230935252,0.1223021582733813,2016-06-01
5240,2016,6,NAR,2013-09-02,NORTHAMBER                         ,Technology Hardware & Equipment,Computer Hardware,United Kingdom,8.72920785,-0.04,-8.082599861111111,2.2962962962962963,2016-06-01
6904,2014,10,IDOX,2007-06-05,IDOX                               ,Software & Computer Services,Software,United Kingdom,139.26410269999997,0.02,19.559564985955056,0.17134831460674158,2014-10-01
7219,2014,10,MCRO,2013-10-28,MICRO FOCUS INTERNATIONAL          ,Software & Computer Services,Software,United Kingdom,1373.629929,1.19,11.543108647058823,4.33,2014-10-01
10205,2014,9,ACT,2014-02-13,ACTUAL EXPERIENCE PLC              ,Software & Computer Services,Software,United Kingdom,51.51501,-0.04,-44.40949137931034,0.019655172413793102,2014-09-01
11193,2014,9,IXI,2013-10-15,IXICO PLC                          ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,7.37890118,-0.11,-4.472061321212121,0.2273333333333333,2014-09-01
11202,2014,9,JEL,2064-02-28,JERSEY ELECTRICITY PLC             ,Electricity,Electricity,Jersey,38.8776,0.25,5.016464516129032,3.161290322580645,2014-09-01
11579,2014,9,OMG,2001-04-10,OMG                                ,Software & Computer Services,Software,United Kingdom,32.02358246,0.01,28.339453504424768,0.2300884955752213,2014-09-01
11866,2014,9,SGE,2013-06-10,SAGE GROUP                         ,Software & Computer Services,Software,United Kingdom,4120.879283,0.2,19.060496221091586,1.2525439407955596,2014-09-01
11872,2014,9,SND,2004-12-16,SANDERSON GROUP                    ,Software & Computer Services,Computer Services,United Kingdom,36.22275136,0.04,16.769792296296295,0.2962962962962963,2014-09-01
12981,2015,5,FTC,1994-10-24,FILTRONIC                          ,Technology Hardware & Equipment,Telecommunications Equipment,United Kingdom,11.59070916,-0.1,-1.073213811111111,0.16666666666666666,2015-05-01
13601,2015,5,NCC,2007-07-13,NCC GROUP                          ,Software & Computer Services,Computer Services,United Kingdom,438.2133619,0.08,23.91994333515284,0.5851528384279476,2015-05-01
14438,2018,3,ADT,2006-02-15,ADEPT TELECOM PLC,Telecommunications,Telecommunications,United Kingdom,77.03095400000002,0.18,17.831239351851853,1.9166666666666667,2018-03-01
14573,2018,3,AVV,1996-12-05,AVEVA GROUP PLC,Technology,Technology,United Kingdom,3080.671618,0.64,29.89782237965839,3.0186335403726714,2018-03-01
14704,2018,3,BT.A,1984-12-03,BT GROUP PLC,Telecommunications,Telecommunications,United Kingdom,22572.328677,0.3,7.583258979036485,2.393267486393872,2018-03-01
14747,2018,3,CTP,2006-05-22,CASTLETON TECHNOLOGY PLC,Technology,Technology,United Kingdom,58.970149,0.05,14.92915164556962,0.2911392405063291,2018-03-01
14810,2018,3,CML,1996-07-18,CML MICROSYSTEMS PLC,Technology,Technology,United Kingdom,88.72251999999996,0.24,21.745715686274508,1.8823529411764703,2018-03-01
14869,2018,3,D4T4,2008-06-16,D4T4 SOLUTIONS PLC,Technology,Technology,United Kingdom,45.045647,0.08,14.817647039473686,0.4736842105263158,2018-03-01
14939,2018,3,ECK,2003-06-27,ECKOH PLC,Technology,Technology,United Kingdom,103.382117,0.01,40.862496837944654,0.1067193675889328,2018-03-01
15100,2018,3,GBG,2010-08-27,GB GROUP PLC,Technology,Technology,United Kingdom,615.9854,0.16,25.162802287581698,0.7843137254901961,2018-03-01
15150,2018,3,GRC,2018-03-05,GRC INTERNATIONAL GROUP PLC,Technology,Technology,United Kingdom,84.757837,0.01,148.69795964912282,0.2807017543859649,2018-03-01
15272,2018,3,IMO,2014-06-27,IMIMOBILE PLC,Technology,Technology,United Kingdom,162.554979,0.02,131.092725,1.7903225806451613,2018-03-01
15306,2018,3,IGP,2001-01-08,INTERCEDE GROUP PLC,Technology,Technology,United Kingdom,12.115747,-0.08,-3.02893675,0.184,2018-03-01
